,Province/State,Country/Region,Lat,Long,Date,cases
244,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-04,3
245,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-04,0
246,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-05,3
247,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-05,0
248,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-06,3
249,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-06,0
250,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-07,3
251,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-07,0
252,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-08,3
253,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-08,0
254,Anguilla,United Kingdom,18.2206,-63.0686,2020-12-09,3
255,Anguilla,United Kingdom,18.2206,-63.0686,2021-12-09,0
256,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-01,0
257,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-01,15
258,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-01,0
259,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-10,0
260,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-10,16
261,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-10,0
262,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-11,0
263,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-11,16
264,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-11,0
265,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-12,0
266,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-12,16
267,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-12,0
268,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-13,0
269,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-13,16
270,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-13,0
271,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-14,0
272,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-14,16
273,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-14,0
274,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-15,0
275,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-15,16
276,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-15,0
277,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-16,0
278,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-16,16
279,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-16,0
280,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-17,0
281,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-17,18
282,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-17,0
283,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-18,0
284,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-18,18
285,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-18,0
286,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-19,0
